secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"601799.SH","星宇股份","XYGF","2011.02.01",1,"280202","汽车","汽车零部件","车身附件及饰件"
"601800.SH","中国交建","ZGJJ","2012.03.09",1,"620306","建筑装饰","基础建设","基建市政工程"
"601801.SH","皖新传媒","WXCM","2010.01.18",1,"720902","传媒","出版","大众出版"
"601808.SH","中海油服","ZHYF","2007.09.28",1,"750201","石油石化","油服工程","油田服务"
"601811.SH","新华文轩","XHWX","2016.08.08",1,"720901","传媒","出版","教育出版"
"601816.SH","京沪高铁","JHGT","2020.01.16",1,"420903","交通运输","铁路公路","铁路运输"
"601818.SH","光大银行","GDYH","2010.08.18",1,"480301","银行","股份制银行Ⅱ","股份制银行Ⅲ"
"601825.SH","沪农商行","HNSH","2021.08.19",1,"480501","银行","农商行Ⅱ","农商行Ⅲ"
"601828.SH","美凯龙","MKL","2018.01.17",1,"450304","商贸零售","一般零售","商业物业经营"
"601857.SH","中国石油","ZGSY","2007.11.05",1,"750301","石油石化","炼化及贸易","炼油化工"
"601858.SH","中国科传","ZGKC","2017.01.18",1,"720902","传媒","出版","大众出版"
"601860.SH","紫金银行","ZJYH","2019.01.03",1,"480501","银行","农商行Ⅱ","农商行Ⅲ"
"601868.SH","中国能建","ZGNJ","2021.09.28",1,"620306","建筑装饰","基础建设","基建市政工程"
"601872.SH","招商轮船","ZSLC","2006.12.01",1,"421101","交通运输","航运港口","航运"
"601877.SH","正泰电器","ZTDQ","2010.01.21",1,"630802","电力设备","电网设备","配电设备"
"601878.SH","浙商证券","ZSZQ","2017.06.26",1,"490101","非银金融","证券Ⅱ","证券Ⅲ"
"601880.SH","辽港股份","LGGF","2010.12.06",1,"421102","交通运输","航运港口","港口"
"601881.SH","中国银河","ZGYH","2017.01.23",1,"490101","非银金融","证券Ⅱ","证券Ⅲ"
"601882.SH","海天精工","HTJG","2016.11.07",1,"640101","机械设备","通用设备","机床工具"
"601886.SH","江河集团","JHJT","2011.08.18",1,"620201","建筑装饰","装修装饰Ⅱ","装修装饰Ⅲ"
"601888.SH","中国中免","ZGZM","2009.10.15",1,"450701","商贸零售","旅游零售Ⅱ","旅游零售Ⅲ"
"601890.SH","亚星锚链","YXML","2010.12.28",1,"650401","国防军工","航海装备Ⅱ","航海装备Ⅲ"
"601899.SH","紫金矿业","ZJKY","2008.04.25",1,"240302","有色金属","工业金属","铜"
"601900.SH","南方传媒","NFCM","2016.02.15",1,"720901","传媒","出版","教育出版"
"601908.SH","京运通","JYT","2011.09.08",1,"410106","公用事业","电力","光伏发电"
"601918.SH","新集能源","XJNY","2007.12.19",1,"740101","煤炭","煤炭开采","动力煤"
"601919.SH","中远海控","ZYHK","2007.06.26",1,"421101","交通运输","航运港口","航运"
"601921.SH","浙版传媒","ZBCM","2021.07.23",1,"720901","传媒","出版","教育出版"
"601928.SH","凤凰传媒","FHCM","2011.11.30",1,"720901","传媒","出版","教育出版"
"601929.SH","吉视传媒","JSCM","2012.02.23",1,"721001","传媒","电视广播Ⅱ","电视广播Ⅲ"
"601939.SH","建设银行","JSYH","2007.09.25",1,"480201","银行","国有大型银行Ⅱ","国有大型银行Ⅲ"
"601949.SH","中国出版","ZGCB","2017.08.21",1,"720902","传媒","出版","大众出版"
"601952.SH","苏垦农发","SKNF","2017.05.15",1,"110102","农林牧渔","种植业","粮食种植"
"601958.SH","金钼股份","JMGF","2008.04.17",1,"240505","有色金属","小金属","钼"
"601963.SH","重庆银行","CQYH","2021.02.05",1,"480401","银行","城商行Ⅱ","城商行Ⅲ"
"601965.SH","中国汽研","ZGQY","2012.06.11",1,"280303","汽车","汽车服务","汽车综合服务"
"601966.SH","玲珑轮胎","LLLT","2016.07.06",1,"280204","汽车","汽车零部件","轮胎轮毂"
"601969.SH","海南矿业","HNKY","2014.12.09",1,"230301","钢铁","冶钢原料","铁矿石"
"601975.SH","招商南油","ZSNY","2019.01.08",1,"421101","交通运输","航运港口","航运"
"601985.SH","中国核电","ZGHD","2015.06.10",1,"410108","公用事业","电力","核力发电"
"601989.SH","中国重工","ZGZG","2009.12.16",1,"650401","国防军工","航海装备Ⅱ","航海装备Ⅲ"
"601990.SH","南京证券","NJZQ","2018.06.13",1,"490101","非银金融","证券Ⅱ","证券Ⅲ"
"601991.SH","大唐发电","DTFD","2006.12.20",1,"410101","公用事业","电力","火力发电"
"601992.SH","金隅集团","JYJT","2011.03.01",1,"610101","建筑材料","水泥","水泥制造"
"601995.SH","中金公司","ZJGS","2020.11.02",1,"490101","非银金融","证券Ⅱ","证券Ⅲ"
"601996.SH","丰林集团","FLJT","2011.09.29",1,"360311","轻工制造","家居用品","其他家居用品"
"601997.SH","贵阳银行","GYYH","2016.08.16",1,"480401","银行","城商行Ⅱ","城商行Ⅲ"
"601998.SH","中信银行","ZXYH","2007.04.27",1,"480301","银行","股份制银行Ⅱ","股份制银行Ⅲ"
"601999.SH","出版传媒","CBCM","2007.12.21",1,"720902","传媒","出版","大众出版"
"603000.SH","人民网","RMW","2012.04.27",1,"720704","传媒","数字媒体","门户网站"
"603002.SH","宏昌电子","HCDZ","2012.05.18",1,"270601","电子","电子化学品Ⅱ","电子化学品Ⅲ"
"603005.SH","晶方科技","JFKJ","2014.02.10",1,"270107","电子","半导体","集成电路封测"
"603006.SH","联明股份","LMGF","2014.06.30",1,"280205","汽车","汽车零部件","其他汽车零部件"
"603008.SH","喜临门","XLM","2012.07.17",1,"360307","轻工制造","家居用品","成品家居"
"603010.SH","万盛股份","WSGF","2014.10.10",1,"220309","基础化工","化学制品","其他化学制品"
"603011.SH","合锻智能","HDZN","2014.11.07",1,"640209","机械设备","专用设备","其他专用设备"
"603012.SH","创力集团","CLJT","2015.03.20",1,"640203","机械设备","专用设备","能源及重型设备"
"603013.SH","亚普股份","YPGF","2018.05.09",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603015.SH","弘讯科技","HXKJ","2015.03.03",1,"640702","机械设备","自动化设备","工控设备"
"603016.SH","新宏泰","XHT","2016.07.01",1,"630802","电力设备","电网设备","配电设备"
