secu_code,ConceptName
"000017.SZ","深圳特区"
"000017.SZ","粤港澳自贸区"
"000017.SZ","黄金概念"
"000017.SZ","AB股"
"000017.SZ","业绩反转"
"000017.SZ","广东"
"000019.SZ","数字乡村"
"000019.SZ","国企改革"
"000019.SZ","深圳国资改革"
"000019.SZ","双百企业"
"000019.SZ","深股通"
"000019.SZ","深圳特区"
"000019.SZ","粮食概念"
"000019.SZ","预制菜"
"000019.SZ","AB股"
"000019.SZ","标普道琼斯中国"
"000019.SZ","广东"
"000020.SZ","深圳特区"
"000020.SZ","粤港澳自贸区"
"000020.SZ","AB股"
"000020.SZ","广东"
"000021.SZ","华为概念"
"000021.SZ","物联网"
"000021.SZ","超级电容"
"000021.SZ","节能照明"
"000021.SZ","区块链"
"000021.SZ","芯片概念"
"000021.SZ","集成电路概念"
"000021.SZ","无人机"
"000021.SZ","新能源车"
"000021.SZ","医疗器械概念"
"000021.SZ","云计算"
"000021.SZ","华为手机"
"000021.SZ","智能电网"
"000021.SZ","储能概念"
"000021.SZ","国企改革"
"000021.SZ","军工集团"
"000021.SZ","工业4.0"
"000021.SZ","深股通"
"000021.SZ","深圳特区"
"000021.SZ","呼吸机"
"000021.SZ","第三代半导体"
"000021.SZ","半导体产业"
"000021.SZ","手机产业"
"000021.SZ","消费电子产业"
"000021.SZ","消费电子代工"
"000021.SZ","存储器"
"000021.SZ","融资融券"
"000021.SZ","转融券标的"
"000021.SZ","MSCI概念"
"000021.SZ","纳入富时罗素"
"000021.SZ","标普道琼斯中国"
"000021.SZ","广东"
"000025.SZ","汽车销售"
"000025.SZ","国企改革"
"000025.SZ","深圳国资改革"
"000025.SZ","深股通"
"000025.SZ","深圳特区"
"000025.SZ","粤港澳自贸区"
"000025.SZ","物业管理概念"
"000025.SZ","黄金概念"
"000025.SZ","AB股"
"000025.SZ","融资融券"
"000025.SZ","转融券标的"
"000025.SZ","标普道琼斯中国"
"000025.SZ","广东"
"000026.SZ","电商概念"
"000026.SZ","智能穿戴"
"000026.SZ","国企改革"
"000026.SZ","军工集团"
"000026.SZ","军工"
"000026.SZ","航天装备概念"
"000026.SZ","深圳特区"
"000026.SZ","智能手表"
"000026.SZ","AB股"
"000026.SZ","中航系"
"000026.SZ","军工央企"
"000026.SZ","广东"
"000027.SZ","腾讯概念"
"000027.SZ","虚拟电厂"
"000027.SZ","独角兽概念"
"000027.SZ","DeepSeek概念股"
"000027.SZ","充电桩"
"000027.SZ","参股券商"
"000027.SZ","风电概念"
"000027.SZ","固废处理"
"000027.SZ","光伏概念"
"000027.SZ","节能环保"
"000027.SZ","太阳能概念"
"000027.SZ","垃圾分类"
"000027.SZ","碳交易"
"000027.SZ","碳中和"
"000027.SZ","BIPV概念(光伏建筑一体化)"
"000027.SZ","储能概念"
"000027.SZ","绿色电力"
"000027.SZ","超超临界发电"
"000027.SZ","创投"
"000027.SZ","电力改革"
"000027.SZ","国企改革"
"000027.SZ","深圳国资改革"
"000027.SZ","双百企业"
"000027.SZ","深股通"
"000027.SZ","PPP模式"
"000027.SZ","氢能源"
"000027.SZ","深圳特区"
"000027.SZ","天然气"
"000027.SZ","荣耀手机"
"000027.SZ","融资融券"
"000027.SZ","参股新三板"
"000027.SZ","转融券标的"
"000027.SZ","MSCI概念"
"000027.SZ","纳入富时罗素"
